n,concept_en,fur,lij,lmo,sc,scn,vec,ita,fra,spa,cat,por,oci,deu,eng,slv,hrv,hun
193,smooth,lis,lìscio,liss,liju,lisciu,lisier,liscio,lisse,liso,llis,liso,doç,glatt,smooth,gladek,gladak,sima
194,wet,umit,bagnòu,ümit,bagnadu,moḍḍu,bagnà,bagnato,mouillé,húmedo,humit,molhado,trempe,nass,wet,moker,mokar,nedves
195,dry,sec,sécco,sech,siccu,siccu,seco,secco,sec,seco,sec,seco,sec,dürr,dry,suh,suh,száraz
196,correct,just,giùsto,giüst,giustu,giustu,giusto,giusto,correct,correcto,correcte,correto,corrècte,richtig,correct,pravilen,tačan,helyes
197,near,dongje,arénte,visìŋ,affacca,vicinu,vizin,vicino,près,cerca,prop,perto,prèp,nah,near,bližnji,blizak,közel
198,far,luntano,lontàn,luntàŋ,addae,luntanu,lontan,lontano,loin,lejos,lluny,longe,luènh,fern,far,oddaljen,dalek,távol
199,right,drete,drîta,dèstra,dresta,ritta,destro,destra,droit,derecho,dret,direito,drecha/drèita,rechts,right,desni,desni,jobb
200,left,çambe,mancìnn-a,sinistra,manca,manca,sinistro,sinistra,gauche,izquierdo,esquerre,esquerdo,esquèrra,links,left,levi,levi,bal
201,at,a,a,a,a,nne,a,a,en,en,en,em,a,an,at,pri,kod,-nál
202,in,in,in,in,in,'n,in,in,en,en,en,em,dins,in,in,v,u,-ban
203,with,cun,con,con,cun,cu,con,con,avec,con,amb,com,amb,mit,with,s,s,-val
204,and,e,e,e,e,e,e,e,et,y,i,e,e,und,and,in,i,és
205,if,se,se,se,si,si,se,se,si,si,si,se,se,ob,if,če,ako,ha
206,because,parcè,perché,parchè,pro itte,pirchì,parché,perché,parce que,porque,perquè,porque,perque,weil,because,ker,zato,mert
207,name,non,nómme,nóm,nomene,nomu,nome,nome,nom,nombre,nom,nome,nom,Name,name,ime,ime,név
